movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
gethard,Get Hard,90411453,21400000,33803253,,,2015-03-27,2016-07-17,105,100,R,Comedy,Warner Bros.,Etan Cohen,"Will Ferrell,Chris Henchy, ,(executive),Adam McKay",$40 million,"3,212","Will Ferrell,Kevin Hart,Craig T. Nelson,Alison Brie,T.I.","Etan Cohen,Jay Martel,Ian Roberts",,Christophe Beck
terminator2015,Terminator: Genisys,89760956,350842581,27018486,,,2015-07-01,2016-09-17,79,126,PG-13,Action,Paramount,Alan Taylor,"David Ellison,Megan Ellison, ,(executive),Dana Goldberg,Laeta Kalogridis, ,(executive),Patrick Lussier, ,(executive),Paul Schwake, ,(executive)",$155 million,"3,783","Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons","Laeta Kalogridis,Patrick Lussier",,
taken3,Taken 3,89256424,237222717,39201657,,,2015-01-09,2016-05-17,126,109,PG-13,Action,Fox,Olivier Megaton,Luc Besson,$48 million,"3,594","Liam Neeson,Maggie Grace,Famke Janssen,Forest Whitaker,Dougray Scott","Luc Besson,Robert Mark Kamen",,
nest,Sisters,87044645,17966408,13922855,,,2015-12-18,2016-03-17,84,118,R,Comedy,Universal,Jason Moore,"Tina Fey,Amy Poehler ,(executive),Jay Roach",$30 million,"2,978","Tina Fey,Amy Poehler,Maya Rudolph,John Leguizamo,Dianne Wiest,John Cena,James Brolin",,,Christophe Beck
alvin4,Alvin and the Chipmunks: The Road Chip,85886987,148911649,14287159,,,2015-12-18,2016-05-17,154,86,PG,Family Comedy,Fox,,,N/A,"3,705","Christina Applegate, ,(Voice),Kaley Cuoco, ,(Voice),Anna Faris, ,(Voice),Jason Lee,Justin Long, ,(Voice),Bella Thorne",,,
mazerunner2,Maze Runner: The Scorch Trials,81697192,230627911,30316510,,,2015-09-18,2016-01-17,126,131,PG-13,Action / Adventure,Fox,Wes Ball,"Marty Bowen,Wyck Godfrey,Ellen Goldsmith-Vein,Lee Stollman",$61 million,"3,792","Patricia Clarkson,Giancarlo Esposito,Aidan Gillen,Ki Hong Lee,Barry Pepper,Lili Taylor,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster",T.S. Nowlin,,John Paesano
ted2,Ted 2,81476385,135215348,33507870,,,2015-06-26,2016-08-17,,115,R,Comedy,Universal,Seth MacFarlane,"Jason Clark,John Jacobs,Seth MacFarlane,Scott Stuber",$68 million,"3,448","Mark Wahlberg,Seth MacFarlane, ,(Voice),Amanda Seyfried,Morgan Freeman,Giovanni Ribisi,Patrick Warburton,John Slattery,John Carroll Lynch,Liam Neeson,Dennis Haysbert,Patrick Stewart*, ,(Voice)","Seth MacFarlane,Alec Sulkin,Wellesley Wild",,Walter Murphy
goosebumps,Goosebumps,80080379,70090436,23618556,,,2015-10-16,2016-02-17,126,103,PG,Horror Comedy,Sony / Columbia,Rob Letterman,,$58 million,"3,618",Jack Black,,,Danny Elfman
pixels,Pixels,78747585,166127224,24011616,,,2015-07-24,2016-11-17,108,105,PG-13,Action Comedy,Sony / Columbia,Chris Columbus,"Chris Columbus,Allen Covert,Jack Giarraputo, ,(executive),Seth Gordon, ,(executive),Tim Herlihy, ,(executive),Heather Parry, ,(executive),Adam Sandler",$88 million,"3,723","Adam Sandler,Kevin James,Josh Gad,Michelle Monaghan,Peter Dinklage,Brian Cox","Timothy Dowling,Tim Herlihy",Amir Mokri,Henry Jackman
paddington,Paddington,76271832,191775976,18966676,,,2015-01-16,2016-06-17,,95,PG,Family,Weinstein / Dimension,Paul King,David Heyman,$55 million,"3,355","Hugh Bonneville,Sally Hawkins,Nicole Kidman,Ben Whishaw, ,(Voice),Jim Broadbent,Julie Walters",Paul King,,Nick Urata
intern,The Intern,75764672,118800000,17728313,,,2015-09-25,2016-01-17,105,121,PG-13,Comedy,Warner Bros.,Nancy Meyers,,$35 million,"3,320","Robert DeNiro,Anne Hathaway,Rene Russo",Nancy Meyers,,
coldwar2015,Bridge of Spies,72313754,93164594,15371203,,,2015-10-16,2016-03-17,147,140,PG-13,Thriller,Buena Vista,Steven Spielberg,"Daniel Lupi, ,(executive),Marc Platt,Steven Spielberg",$40 million,"2,873","Jesse Plemons,Mark Rylance,Tom Hanks,Amy Ryan,Alan Alda","Ethan Coen,Joel Coen",,Thomas Newman
paulblart2,Paul Blart: Mall Cop 2,71038190,36550035,23762435,,,2015-04-17,2016-08-17,108,94,PG,Comedy,Sony / Columbia,Andy Fickman,"Todd Garner,Kevin James,Adam Sandler",$30 million,"3,633","Kevin James,Neal McDonough","Nick Bakay,Kevin James",,Rupert Gregson-Williams
bigshort,The Big Short,70259870,63086636,,705527,10531026,2015-12-11,2016-04-17,119,130,R,Drama,Paramount,Adam McKay,"Dede Gardner,Jeremy Kleiner,Brad Pitt",$28 million,"2,529","Selena Gomez*, ,(Cameo),Margot Robbie*, ,(Cameo),Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,Marisa Tomei","Adam McKay,Charles Randolph",,
warroom2015,War Room,67790117,n/a,11351389,,,2015-08-28,2016-12-17,108,120,PG,Drama,TriStar,Alex Kendrick,,$3 million,"1,945",,,,
magicmike2,Magic Mike XXL,66013057,56500000,12857184,,,2015-07-01,2016-09-17,86,115,R,Comedy / Drama,Warner Bros.,Gregory Jacobs,"Reid Carolin,Gregory Jacobs,Steven Soderbergh, ,(executive),Channing Tatum,Nick Wechsler",$14.8 million,"3,376","Amber Heard,Channing Tatum,Matt Bomer,Joe Manganiello,Jada Pinkett-Smith",Reid Carolin,,
blumhouse2015,The Visit,65206105,33243957,25427560,,,2015-09-11,2016-11-17,,94,PG-13,Horror,Universal,M. Night Shyamalan,"Jason Blum,Steven Schneider, ,(executive),M. Night Shyamalan",$5 million,"3,148",,M. Night Shyamalan,,
kevinhart15,The Wedding Ringer,64460211,15339669,20649306,,,2015-01-16,2016-04-17,80,101,R,Comedy,Sony / Screen Gems,Jeremy Garelick,"Jeremy Garelick, ,(executive),Will Packer",$23 million,"3,003","Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby","Jeremy Garelick,Jay Lavender",,Christopher Lennertz
whiteybulger15,Black Mass,62575678,37200000,22635037,,,2015-09-18,2016-12-17,77,122,R,Crime Drama,Warner Bros.,Scott Cooper,,$53 million,"3,188","Jesse Plemons,Johnny Depp,Benedict Cumberbatch,Dakota Johnson,Juno Temple,Joel Edgerton,Kevin Bacon,Sienna Miller,Adam Scott","Mark Mallouk,Mark Mallouk,Jez Butterworth",,Junkie XL
newline15,Vacation,58884188,46000000,14681108,,,2015-07-29,2016-10-17,93,99,R,Comedy,Warner Bros. (New Line),,"Chris Bender,David Dobkin",$31 million,"3,430","Ed Helms,Leslie Mann,Christina Applegate,Chris Hemsworth,Chevy Chase,Beverly D'Angelo,Charlie Day,Ron Livingston,Norman Reedus,Keegan-Michael Key,Regina Hall","John Francis Daley,Jonathan M. Goldstein",,Mark Mothersbaugh
perfectguy,The Perfect Guy,57027435,3245738,25888154,,,2015-09-11,2016-12-17,84,100,PG-13,Thriller,Sony / Screen Gems,,,$12 million,"2,230","Sanaa Lathan,Michael Ealy,Morris Chestnut",,,
joy,Joy,56451232,44682827,17015168,,,2015-12-25,2016-03-17,84,124,PG-13,Comedy / Drama,Fox,David O. Russell,,$60 million,"2,924","Bradley Cooper,Robert DeNiro,Jennifer Lawrence,Virginia Madsen,Edgar Ramirez,Elisabeth Rohm,Isabella Rossellini",David O. Russell,,Danny Elfman
fantasticfour15,Fantastic Four,56117548,111860048,25685737,,,2015-08-07,2016-10-17,77,100,PG-13,Action / Adventure,Fox,Josh Trank,"Avi Arad, ,(executive),Simon Kinberg,Stan Lee, ,(executive),Matthew Vaughn",$120 million,"4,004","Miles Teller,Michael B. Jordan,Jamie Bell,Kate Mara",Simon Kinberg,,Marco Beltrami
thehatefuleight,The Hateful Eight,54117416,101642701,,4610676,15706645,2015-12-25,2016-04-17,126,167,R,Western,Weinstein Company,Quentin Tarantino,"Stacey Sher,Bob Weinstein,Harvey Weinstein",$44 million,"2,938","Zoe Bell,Demian Bichir,Bruce Dern,Walton Goggins,Samuel L. Jackson,Jennifer Jason Leigh,Michael Madsen,Tim Roth,Kurt Russell,Channing Tatum",Quentin Tarantino,Robert Richardson,Ennio Morricone
focus2015,Focus (2015),53862963,105200000,18685137,,,2015-02-27,2016-05-17,70,104,R,Comedy,Warner Bros.,,Denise Di Novi,$50.1 million,"3,323","Will Smith,Margot Robbie,Rodrigo Santoro","Glenn Ficarra,John Requa",,Nick Urata
southpaw2015,Southpaw,52421953,39548874,16701294,,,2015-07-24,2016-11-17,105,123,R,Drama,Weinstein Company,Antoine Fuqua,"Todd Black,Jason Blumenthal,Antoine Fuqua,Alan Riche,Peter Riche,Kurt Sutter ,(executive),Steve Tisch",$30 million,"2,772","Jake Gyllenhaal,Forest Whitaker,Rachel McAdams,50 Cent,Naomie Harris","Kurt Sutter,Richard Wenk",,James Horner
insidiouschapter3,Insidious Chapter 3,52218558,60765331,22692741,,,2015-06-05,2016-08-17,70,97,PG-13,Horror,Focus Features,Leigh Whannell,"Jason Blum,Oren Peli,Peter Schlessel, ,(executive),Steven Schneider, ,(executive),James Wan",$10 million,"3,014",Dermot Mulroney,Leigh Whannell,,Joseph Bishara
selma,Selma,52076908,14711000,,571450,11307394,2014-12-25,2016-04-17,113,127,PG-13,Drama,Paramount,Ava DuVernay,"Ava DuVernay, ,(executive),Dede Gardner,Jeremy Kleiner,Brad Pitt, ,(executive),Oprah Winfrey",$20 million,"2,235","Keith Stanfield,Tessa Thompson,David Oyelowo,Tom Wilkinson,Carmen Ejogo,Tim Roth,Giovanni Ribisi,Oprah Winfrey,Common,Stephen Root*,Alessandro Nivola*,Dylan Baker*,Cuba Gooding, Jr.*,Martin Sheen*",Paul Webb,,
poltergeist2015,Poltergeist (2015),47425125,48012869,22620386,,,2015-05-22,2016-08-17,77,93,PG-13,Horror,Fox,Gil Kenan,"Roy Lee,Sam Raimi",$35 million,"3,242","Sam Rockwell,Rosemarie DeWitt,Jared Harris",David Lindsay-Abaire,,Marc Streitenfeld
jupiterascending,Jupiter Ascending,47387723,136600000,18372372,,,2015-02-06,2016-05-17,91,127,PG-13,Sci-Fi,Warner Bros.,Lilly & Lana Wachowski,Lilly & Lana Wachowski,$176 million,"3,181","Channing Tatum,Mila Kunis,Eddie Redmayne,Sean Bean,Gugu Mbatha-Raw",Lilly & Lana Wachowski,,Michael Giacchino
sicario,Sicario,46889293,37983151,,401288,12148041,2015-09-18,2016-01-17,119,121,R,Action Drama,Lionsgate,Denis Villeneuve,"Basil Iwanyk,Thad Luckinbill,Trent Luckinbill,Edward McDonnell,Molly Smith",$30 million,"2,620","Daniel Kaluuya,Emily Blunt,Benicio Del Toro,Josh Brolin,Jon Bernthal",,Roger Deakins,
uncle,The Man From U.N.C.L.E.,45445109,64400000,13421036,,,2015-08-14,2016-10-17,70,116,PG-13,Action,Warner Bros.,Guy Ritchie,"John Davis,David Dobkin, ,(executive)",$75 million,"3,673","Elizabeth Debicki,Henry Cavill,Armie Hammer,Alicia Vikander,Hugh Grant,Jared Harris",Guy Ritchie,,Daniel Pemberton
spotlight,Spotlight,45055776,43290697,,295009,4408252,2015-11-06,2016-05-17,182,128,R,Drama,Open Road Films,Tom McCarthy,,N/A,"1,227","Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,Stanley Tucci,John Slattery","Tom McCarthy,Josh Singer",,Howard Shore
mcfarland,"McFarland, USA",44482410,1227649,11020798,,,2015-02-20,2016-07-17,140,128,PG,Sports Drama,Buena Vista,Niki Caro,,N/A,"2,792","Maria Bello,Kevin Costner",,,
blumhousejuly2015,The Gift (2015),43787265,15191388,11854273,,,2015-08-07,2016-10-17,63,108,R,Thriller,STX Entertainment,Joel Edgerton,Jason Blum,$5 million,"2,503","Jason Bateman,Rebecca Hall,Joel Edgerton",Joel Edgerton,,
everest2015,Everest (2015),43482270,159945314,,7222035,13242895,2015-09-18,2016-11-17,,121,PG-13,Thriller,Universal,Baltasar Kormakur,"Tim Bevan,Eric Fellner",$55 million,"3,009","Josh Brolin,Jason Clarke,Elizabeth Debicki,Jake Gyllenhaal,John Hawkes,Martin Henderson,Keira Knightley,Robin Wright Penn,Emily Watson",Simon Beaufoy,,Dario Marianelli
xmas2015,The Night Before,43047372,9348624,9880536,,,2015-11-20,2016-01-17,56,101,R,Comedy,Sony / Columbia,Jonathan Levine,"Evan Goldberg,Seth Rogen",$25 million,"2,960","Seth Rogen,Joseph Gordon-Levitt,Anthony Mackie","Evan Goldberg,Jonathan Levine",,
krampus,Krampus,42725475,18823232,16293325,,,2015-12-04,2016-01-17,49,98,PG-13,Horror Comedy,Universal,Michael Dougherty,"Jon Jashni,Thomas Tull",$15 million,"2,919","Toni Collette,David Koechner,Adam Scott",Michael Dougherty,,
max2015,Max (2015),42656255,1311000,12155254,,,2015-06-26,2016-10-17,112,111,PG,Family,Warner Bros.,Boaz Yakin,,$20 million,"2,870","Lauren Graham,Thomas Haden Church,Jay Hernandez",,,
ageofadaline,The Age of Adaline,42629776,23033500,13203458,,,2015-04-24,2016-07-17,77,112,PG-13,Drama,Lionsgate,Lee Toland Krieger,"Sidney Kimmel,Gary Lucchesi,Tom Rosenberg",N/A,"3,070","Blake Lively,Harrison Ford,Michiel Huisman,Ellen Burstyn,Amanda Crew,Kathy Baker","J. Mills Goodloe,Salvador Paskowitz",,Rob Simonsen
brooklyn,Brooklyn,38322743,23753398,,187281,3946667,2015-11-04,2016-05-17,205,111,PG-13,Drama,Fox Searchlight,John Crowley,,N/A,962,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Jim Broadbent,Julie Walters",Nick Hornby,,Michael Brook
thelongestride,The Longest Ride,37446117,25498698,13019686,,,2015-04-10,2016-07-17,91,139,PG-13,Romance,Fox,"George Tillman, Jr.","Marty Bowen,Wyck Godfrey",$34 million,"3,371","Britt Robertson,Scott Eastwood,Jack Huston,Melissa Benoist,Alan Alda",Craig Bolotin,,Mark Isham
boynextdoor,The Boy Next Door,35423380,17002475,14910105,,,2015-01-23,2016-03-17,49,91,R,Thriller,Universal,Rob Cohen,"Jason Blum,Jennifer Lopez",$4 million,"2,615","Jennifer Lopez,Ryan Guzman,John Corbett,Kristin Chenoweth",Barbara Curry,,"Nathan Barr,Randy Edelman"
pan,Pan,35088320,93300000,15315435,,,2015-10-09,2016-01-17,91,111,PG,Fantasy,Warner Bros.,Joe Wright,Greg Berlanti,$150 million,"3,515","Hugh Jackman,Garrett Hedlund,Amanda Seyfried,Rooney Mara",,,
witherspoonvergara,Hot Pursuit,34580201,17100000,13942258,,,2015-05-08,2016-07-17,84,87,PG-13,Comedy,Warner Bros. (New Line),Anne Fletcher,"Bruna Papandrea,Sofia Vergara ,(executive),Reese Witherspoon",$35 million,"3,037","Sofia Vergara,Reese Witherspoon","David Feeney,John Quaintance",,Christophe Beck
concussion2015,Concussion (2015),34542474,14081098,10513749,,,2015-12-25,2016-03-17,84,123,PG-13,Drama,Sony / Columbia,Peter Landesman,Ridley Scott,$35 million,"2,841","Will Smith,Alec Baldwin,Gugu Mbatha-Raw,Luke Wilson",Peter Landesman,,James Newton Howard
duff,The DUFF,34030343,9498291,10809149,,,2015-02-20,2016-05-17,84,101,PG-13,Comedy,Lionsgate,Ari Sandel,McG,$8.5 million,"2,622",Bella Thorne,Josh A. Cagan,,
womaningold,Woman in Gold,33307793,28311980,,2091551,5483125,2015-04-01,2016-08-17,135,109,PG-13,Drama,Weinstein Company,,,$11 million,"2,011","Helen Mirren,Ryan Reynolds,Daniel Bruhl,Katie Holmes,Max Irons",,,Hans Zimmer
bestexotic2,The Second Best Exotic Marigold Hotel,33078266,52900000,8540370,,,2015-03-06,2016-06-17,112,122,PG,Comedy / Drama,Fox Searchlight,John Madden,,$10 million,"2,022","Judi Dench,Maggie Smith,Bill Nighy,Richard Gere,David Strathairn,Dev Patel",,,Thomas Newman
cybernatural,Unfriended,32482090,31574553,15845115,,,2015-04-17,2016-05-17,42,83,R,Horror,Universal,Levan Gabriadze,"Timur Bekmambetov,Jason Blum, ,(executive),Nelson Greaves","$1,000,000","2,775",,Nelson Greaves,,
entourage,Entourage,32363404,16900000,10283250,,,2015-06-03,2016-08-17,72,104,R,Comedy,Warner Bros.,Doug Ellin,"Doug Ellin,Stephen Levinson,Mark Wahlberg",$30 million,"3,108","Judy Greer,Terrence Jenkins,Adrien Grenier,Kevin Connolly,Jerry Ferrara,Kevin Dillon,Jeremy Piven,Billy Bob Thornton,Haley Joel Osment",Doug Ellin,,
papertowns,Paper Towns,32000304,53511996,12650140,,,2015-07-24,2016-10-17,84,109,PG-13,Drama,Fox,Jake Schreier,"Marty Bowen,Wyck Godfrey,Scott Neustadter, ,(executive),Michael H. Weber, ,(executive)",$12 million,"3,031","Nat Wolff,Cara Delevigne","Scott Neustadter,Michael H. Weber",,
chappie,Chappie,31569268,70500000,13346782,,,2015-03-06,2016-05-17,59,120,R,Sci-Fi Action,Sony / Columbia,Neill Blomkamp,,$49 million,"3,201","Dev Patel,Sharlto Copley, ,(Voice),Sigourney Weaver,Hugh Jackman",Neill Blomkamp,,Hans Zimmer
crimsonpeak,Crimson Peak,31090320,43589502,13143310,,,2015-10-16,2016-11-17,42,119,R,Horror,Universal,Guillermo del Toro,"Guillermo del Toro,Jon Jashni",$55 million,"2,991","Charlie Hunnam,Mia Wasikowska,Jessica Chastain,Tom Hiddleston","Guillermo del Toro,Matthew Robbins",,
walkinthewoods,A Walk in the Woods,29504281,7956993,8246267,,,2015-09-02,2016-12-17,110,104,R,Comedy,Broad Green Pictures,,,N/A,"2,158","Nick Nolte,Robert Redford,Emma Thompson",Bill Holderman,,
pointbreak2015,Point Break (2015),28782481,104936230,9800252,,,2015-12-25,2016-02-17,63,113,PG-13,Action,Warner Bros.,,,$105 million,"2,910","Luke Bracey,Delroy Lindo,Teresa Palmer,Edgar Ramirez,Ray Winstone",,,Junkie XL
sinister2,Sinister 2,27740955,25141063,10542116,,,2015-08-21,2016-10-17,70,97,R,Horror,Focus Features,,Jason Blum,$10 million,"2,799",,,,
lastwitchhunter,The Last Witch Hunter,27367660,119569250,10812861,,,2015-10-23,2016-12-17,70,106,PG-13,Action Fantasy,Lionsgate/Summit,Breck Eisner,,$90 million,"3,082","Vin Diesel,Elijah Wood,Michael Caine",,,
coup,No Escape,27288872,27130000,8111264,,,2015-08-26,2016-11-17,93,101,R,Action,Weinstein Company,John Erick Dowdle,Drew Dowdle,N/A,"3,415","Owen Wilson,Pierce Brosnan,Lake Bell","Drew Dowdle,John Erick Dowdle",,
rickiandtheflash,Ricki and the Flash,26822144,14503184,6610961,,,2015-08-07,2016-10-17,66,101,PG-13,Comedy / Drama,TriStar,Jonathan Demme,"Mason Novick,Marc Platt",$18 million,"2,064","Meryl Streep,Kevin Kline,Sebastian Stan",Diablo Cody,,
womaninblack2,The Woman in Black 2: Angel of Death,26501323,22352982,15027415,,,2015-01-02,2016-03-17,77,98,PG-13,Horror,Relativity,,"Ryan Kavanaugh, ,(executive),Tucker Tooley, ,(executive)",N/A,"2,602",Jeremy Irvine,,,
runallnight,Run All Night,26461644,45200000,11012305,,,2015-03-13,2016-05-17,56,114,R,Action,Warner Bros.,Jaume Collet-Serra,"Roy Lee,Michael Tadross",$50 million,"3,171","Common,Liam Neeson,Joel Kinnaman,Ed Harris,Vincent D'Onofrio,Boyd Holbrook,Genesis Rodriguez",Brad Ingelsby,,Junkie XL
lovethecoopers,Love the Coopers,26302731,16124181,8317545,,,2015-11-13,2016-01-17,63,107,PG-13,Comedy,Lionsgate,Jessie Nelson,,$17 million,"2,603","Alan Arkin,John Goodman,Ed Helms,Diane Keaton,Anthony Mackie,Amanda Seyfried,June Squibb,Marisa Tomei,Olivia Wilde",,,
lazarus,The Lazarus Effect,25801047,12557740,10203437,,,2015-02-27,2016-06-17,,83,PG-13,Horror,Relativity,David Gelb,Jason Blum,$3.3 million,"2,666","Olivia Wilde,Mark Duplass,Evan Peters,Donald Glover",,,
exmachina,Ex Machina,25442958,11426456,,237264,5349500,2015-04-10,2016-09-17,147,110,R,Sci-Fi Thriller,A24,Alex Garland,"Scott Rudin, ,(executive)",$15 million,"2,004","Domhnall Gleeson,Oscar Isaac,Alicia Vikander",Alex Garland,,
heartofthesea,In the Heart of the Sea,25020758,68900000,11053366,,,2015-12-11,2016-02-17,63,121,PG-13,Drama,Warner Bros.,Ron Howard,,$100 million,"3,103","Tom Holland,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Ben Whishaw,Brendan Gleeson",Charles Leavitt,,
newlinehorror2015,The Gallows,22764410,20200000,9808463,,,2015-07-10,2016-09-17,70,81,R,Horror,Warner Bros. (New Line),,Jason Blum,"$100,000","2,720",,,,
hitman47,Hitman: Agent 47,22467450,59880206,8326530,,,2015-08-21,2016-10-17,56,96,R,Action / Adventure,Fox,,,$35 million,"3,273","Rupert Friend,Ciaran Hinds,Zachary Quinto",,,
almanac,Project Almanac,22348241,10865000,8310252,,,2015-01-30,2016-03-17,56,106,PG-13,Sci-Fi,Paramount,Dean Israelite,"Josh Appelbaum, ,(executive),Michael Bay,Andrew Form,Brad Fuller,Andre Nemec, ,(executive)",$12 million,"2,900",,"Jason Pagan,Andrew Stark",,
blackorwhite,Black or White,21571189,n/a,6213362,,,2015-01-30,2016-05-17,105,121,PG-13,Drama,Relativity,Mike Binder,"Mike Binder,Kevin Costner",$9 million,"1,823","Kevin Costner,Octavia Spencer,Gillian Jacobs,Jennifer Ehle,Anthony Mackie",Mike Binder,,Terence Blanchard
crowe2014,Aloha,21067116,5182904,9670235,,,2015-05-29,2016-07-17,63,105,PG-13,Comedy / Drama,Sony / Columbia,Cameron Crowe,"Cameron Crowe,Scott Rudin",$37 million,"2,815","Bradley Cooper,Emma Stone,Rachel McAdams,Bill Murray,Jay Baruchel,John Krasinski,Alec Baldwin,Danny McBride",Cameron Crowe,,
secretintheireyes2015,The Secret in their Eyes (2015),20180155,14674835,6652996,,,2015-11-20,2016-01-17,56,111,PG-13,Thriller,STX Entertainment,Billy Ray,,$19.5 million,"2,392","Dean Norris,Chiwetel Ejiofor,Nicole Kidman,Julia Roberts",Billy Ray,,
shaunthesheep,Shaun the Sheep Movie,19375982,86833396,4038962,,,2015-08-05,2016-10-17,79,85,PG,Animation,Lionsgate,,,N/A,"2,360",,,,
stillalice,Still Alice,18754371,25130281,,197000,2166000,2015-01-16,2016-05-17,,101,PG-13,Drama,Sony Classics,,,$5 million,"1,318","Julianne Moore,Alec Baldwin,Kristen Stewart,Kate Bosworth","Richard Glatzer,Wash Westmoreland",,Ilan Eshkeri
paranormalactivity2014,Paranormal Activity: The Ghost Dimension,18300124,59799429,8070493,,,2015-10-23,2016-11-17,33,95,R,Horror,Paramount,,"Jason Blum,Oren Peli",$10 million,"1,656",,,,
jobs2015,Steve Jobs,17766658,16675215,,521522,7105735,2015-10-09,2016-12-17,63,122,R,Drama,Universal,Danny Boyle,Scott Rudin,$30 million,"2,493","Michael Fassbender,Kate Winslet,Seth Rogen,Jeff Daniels",Aaron Sorkin,,Daniel Pemberton
mr.holmes,Mr. Holmes,17737646,11617557,,2434908,2752132,2015-07-17,2016-11-17,112,103,PG,Crime Drama,Roadside Attractions,Bill Condon,,N/A,898,"Laura Linney,Ian McKellen",,,Carter Burwell
dope,Dope,17506470,480311,6100010,,,2015-06-19,2016-09-17,91,115,R,Comedy / Drama,Open Road Films,,,$7 million,"2,002","Tony Revolori,Keith Stanfield",,,Germaine Franco
