movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
mortdecai,Mortdecai,7696134,39579561,4200586,,,2015-01-23,2016-02-17,28,106,R,Action Comedy,Lionsgate,David Koepp,"Johnny Depp,Andrew Lazar,Gigi Pritzker",$60 million,"2,648","Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn,Oliver Platt,Jeff Goldblum",Eric Aronson,,"Mark Ronson,Geoff Zanelli"
whilewereyoung,While We're Young,7587485,9699824,,227688,1438384,2015-03-27,2016-06-17,94,94,R,Comedy / Drama,A24,Noah Baumbach,"Noah Baumbach,Scott Rudin",N/A,762,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried,Charles Grodin",Noah Baumbach,,James Murphy
greeninferno,The Green Inferno,7192291,n/a,3520626,,,2015-09-25,2016-11-17,42,100,R,Horror,High Top Releasing,Eli Roth,,$5 million,"1,543",,,,
ourbrandiscrisis20115,Our Brand Is Crisis (2015),7002261,n/a,3238433,,,2015-10-30,2016-12-17,49,108,R,Comedy / Drama,Warner Bros.,David Gordon Green,"Sandra Bullock,George Clooney,Grant Heslov",$28 million,"2,202","Sandra Bullock,Ann Dowd,Zoe Kazan,Anthony Mackie,Scoot McNairy,Billy Bob Thornton",Peter Straughan,Tim Orr,
grandma2015,Grandma (2015),6980524,106928,,115540,1501101,2015-08-21,2016-03-17,196,78,R,Comedy,Sony Classics,Paul Weitz,,"$600,000","1,061","Judy Greer,Marcia Gay Harden,Lily Tomlin",Paul Weitz,,
meandearl,Me and Earl and the Dying Girl,6758416,2316333,,196496,1246803,2015-06-12,2016-09-17,91,104,PG-13,Drama,Fox Searchlight,,,$8 million,870,,,,
littleboy,Little Boy,6485961,n/a,2750356,,,2015-04-24,2016-06-17,56,106,PG-13,Drama,Open Road Films,Alejandro Monteverde,"Mark Burnett, ,(executive)",N/A,"1,045","Kevin James,Emily Watson,Tom Wilkinson,Michael Rapaport","Alejandro Monteverde,Pepe Portillo",,
loft,The Loft,6002684,4074106,2747342,,,2015-01-30,2016-02-17,28,108,R,Thriller,Open Road Films,Erik Van Looy,"Hilde De Laere,Matt DeRoss,Steve Golin,Paul Green",N/A,"1,841","Karl Urban,Wentworth Miller,James Marsden,Rhona Mitra,Margarita Levieva,Eric Stonestreet,Rachael Taylor,Matthias Schoenaerts,Isabel Lucas",,,
frankenstein2014,Victor Frankenstein,5775076,28452222,2469341,,,2015-11-25,2016-12-17,39,109,PG-13,Drama,Fox,Paul McGuigan,John Davis,N/A,"2,797","Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,Freddie Fox",Max Landis,,
amostviolentyear,A Most Violent Year,5749134,6257936,,172788,1512224,2014-12-31,2016-04-17,117,125,R,Drama / Thriller,A24,J.C. Chandor,,$20 million,818,"Oscar Isaac,Jessica Chastain,David Oyelowo,Albert Brooks",J.C. Chandor,,
dannycollins,Danny Collins,5637066,5198686,,72459,1479158,2015-03-20,2016-06-17,77,106,R,Comedy / Drama,Bleecker Street,Dan Fogelman,,$10 million,739,"Al Pacino,Jennifer Garner,Christopher Plummer,Annette Bening,Bobby Cannavale,Josh Peck",Dan Fogelman,,
90minutesinheaven,90 Minutes in Heaven,4842699,,2035273,,,2015-09-11,2016-11-17,52,121,PG-13,Drama,Samuel Goldwyn,Michael Polish,,$5 million,899,"Kate Bosworth,Hayden Christensen",Michael Polish,,
truestory,True Story,4719695,n/a,1950214,,,2015-04-17,2016-06-17,49,99,R,Drama,Fox Searchlight,,"Dede Gardner,Jeremy Kleiner,Brad Pitt",N/A,856,"Jonah Hill,James Franco,Felicity Jones",,,
irrationalman,Irrational Man,4030360,23360724,,175312,836034,2015-07-17,2016-11-17,112,96,R,Comedy,Sony Classics,Woody Allen,,N/A,925,"Emma Stone,Joaquin Phoenix",Woody Allen,,
scoutsvszombies,Scouts Guide to the Zombie Apocalypse,3703046,11157720,1841007,,,2015-10-30,2016-11-17,21,93,R,Horror Comedy,Paramount,Christopher B. Landon,,$15 million,"1,509","Tye Sheridan,Patrick Schwarzenegger",,,
weareyourfriends,We Are Your Friends,3591417,7530673,1767308,,,2015-08-28,2016-09-17,28,96,R,Drama,Warner Bros.,,"Tim Bevan,Eric Fellner",N/A,"2,333","Zac Efron,Emily Ratajkowski,Wes Bentley,Jon Bernthal",,,
rockthekasbah,Rock The Kasbah,3020664,n/a,1470592,,,2015-10-23,2016-11-17,35,106,R,Comedy / Drama,Open Road Films,Barry Levinson,,N/A,"2,012","Bill Murray,Bruce Willis,Kate Hudson,Zooey Deschanel,Danny McBride,Scott Caan",,,
captive2015,Captive (2015),2583301,218207,1393243,,,2015-09-18,2016-10-17,21,97,PG-13,Thriller,Paramount,,,N/A,807,"Kate Mara,David Oyelowo",,,
truth,Truth,2541854,n/a,,66232,875935,2015-10-16,2016-02-17,119,121,R,Drama,Sony Classics,James Vanderbilt,,N/A,"1,122","Cate Blanchett,Topher Grace,Elisabeth Moss,Dennis Quaid,Robert Redford",,,Brian Tyler
pawnsacrifice,Pawn Sacrifice,2436633,3141886,,202053,1005071,2015-09-16,2016-12-17,93,114,PG-13,Drama,Bleecker Street,Edward Zwick,,N/A,781,"Tobey Maguire,Liev Schreiber,Peter Sarsgaard,Michael Stuhlbarg",Steven Knight,,
myallamerican,My All American,2246000,,1365000,,,2015-11-13,2016-11-17,17,118,PG,Drama,Clarius Entertainment,Angelo Pizzo,Paul Schiff,N/A,"1,565","Sarah Bolger,Michael Riley Burke,Aaron Eckhart,Juston Street,Rett Terrell,Robin Tunney,Finn Witrock",Angelo Pizzo,,John Paesano
jemandtheholograms,Jem and the Holograms,2184640,149044,1375320,,,2015-10-23,2016-11-17,14,118,PG,Musical,Universal,Jon Chu,"Jason Blum,Scooter Braun,Jon Chu",$5 million,"2,417",,,,
backtothefutureday,Back to the Future Day,1650000,3200000,,,,2015-10-21,2016-10-17,1,,PG,Action Comedy,Universal Home Entertainment,,,N/A,"1,815",,,,
theletters,The Letters,1647416,,700683,,,2015-12-04,2016-01-17,56,119,PG,Drama,Freestyle Releasing,William Riead,,N/A,886,"Priya Darshini,Rutger Hauer,Juliet Stevenson,Max von Sydow",William Riead,,
diaryofateenagegirl,The Diary of a Teenage Girl,1477002,n/a,,52334,393153,2015-08-07,2016-10-17,80,102,R,Drama,Sony Classics,,,N/A,795,"Bel Powley,Alexander Skarsgård,Kristen Wiig,Christopher Meloni",,,
99homes,99 Homes,1411927,n/a,,32253,647825,2015-09-25,2016-11-17,63,112,R,Thriller,Broad Green Pictures,,,$8 million,691,"Bruce Greenwood,Andrew Garfield,Michael Shannon,Laura Dern",,,
patternsofevidence,Patterns of Evidence: The Exodus,,,,,,2015-01-19,2016-01-17,13,115,Unrated,Documentary,Thinking Man Films,,,N/A,652,,,,
dtrain,The D Train,673151,101629,447661,,,2015-05-08,2016-05-17,,101,R,Comedy,IFC,,,N/A,"1,009","Jack Black,Kathryn Hahn,James Marsden,Jeffrey Tambor",,,
