,movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers,actorlist,winner,nomination
94,exmachina,Ex Machina,25442958.0,11426456,,237264.0,5349500.0,2015-04-10,2016-09-17,147.0,110.0,R,Sci-Fi Thriller,A24,Alex Garland,"Scott Rudin, ,(executive)",$15 million,"2,004","Domhnall Gleeson,Oscar Isaac,Alicia Vikander",Alex Garland,,,"['Domhnall Gleeson', 'Oscar Isaac', 'Alicia Vikander']",1.0,0.0
95,heartofthesea,In the Heart of the Sea,25020758.0,68900000,11053366.0,,,2015-12-11,2016-02-17,63.0,121.0,PG-13,Drama,Warner Bros.,Ron Howard,,$100 million,"3,103","Tom Holland,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Ben Whishaw,Brendan Gleeson",Charles Leavitt,,,"['Tom Holland', 'Chris Hemsworth', 'Benjamin Walker', 'Cillian Murphy', 'Ben Whishaw', 'Brendan Gleeson']",0.0,0.0
96,newlinehorror2015,The Gallows,22764410.0,20200000,9808463.0,,,2015-07-10,2016-09-17,70.0,81.0,R,Horror,Warner Bros. (New Line),,Jason Blum,"$100,000","2,720",,,,,['nan'],0.0,0.0
97,hitman47,Hitman: Agent 47,22467450.0,59880206,8326530.0,,,2015-08-21,2016-10-17,56.0,96.0,R,Action / Adventure,Fox,,,$35 million,"3,273","Rupert Friend,Ciaran Hinds,Zachary Quinto",,,,"['Rupert Friend', 'Ciaran Hinds', 'Zachary Quinto']",0.0,0.0
98,almanac,Project Almanac,22348241.0,10865000,8310252.0,,,2015-01-30,2016-03-17,56.0,106.0,PG-13,Sci-Fi,Paramount,Dean Israelite,"Josh Appelbaum, ,(executive),Michael Bay,Andrew Form,Brad Fuller,Andre Nemec, ,(executive)",$12 million,"2,900",,"Jason Pagan,Andrew Stark",,,['nan'],0.0,0.0
99,blackorwhite,Black or White,21571189.0,n/a,6213362.0,,,2015-01-30,2016-05-17,105.0,121.0,PG-13,Drama,Relativity,Mike Binder,"Mike Binder,Kevin Costner",$9 million,"1,823","Kevin Costner,Octavia Spencer,Gillian Jacobs,Jennifer Ehle,Anthony Mackie",Mike Binder,,Terence Blanchard,"['Kevin Costner', 'Octavia Spencer', 'Gillian Jacobs', 'Jennifer Ehle', 'Anthony Mackie']",1.0,1.0
100,crowe2014,Aloha,21067116.0,5182904,9670235.0,,,2015-05-29,2016-07-17,63.0,105.0,PG-13,Comedy / Drama,Sony / Columbia,Cameron Crowe,"Cameron Crowe,Scott Rudin",$37 million,"2,815","Bradley Cooper,Emma Stone,Rachel McAdams,Bill Murray,Jay Baruchel,John Krasinski,Alec Baldwin,Danny McBride",Cameron Crowe,,,"['Bradley Cooper', 'Emma Stone', 'Rachel McAdams', 'Bill Murray', 'Jay Baruchel', 'John Krasinski', 'Alec Baldwin', 'Danny McBride']",0.0,7.0
101,secretintheireyes2015,The Secret in their Eyes (2015),20180155.0,14674835,6652996.0,,,2015-11-20,2016-01-17,56.0,111.0,PG-13,Thriller,STX Entertainment,Billy Ray,,$19.5 million,"2,392","Dean Norris,Chiwetel Ejiofor,Nicole Kidman,Julia Roberts",Billy Ray,,,"['Dean Norris', 'Chiwetel Ejiofor', 'Nicole Kidman', 'Julia Roberts']",2.0,6.0
102,shaunthesheep,Shaun the Sheep Movie,19375982.0,86833396,4038962.0,,,2015-08-05,2016-10-17,79.0,85.0,PG,Animation,Lionsgate,,,,"2,360",,,,,['nan'],0.0,0.0
103,stillalice,Still Alice,18754371.0,25130281,,197000.0,2166000.0,2015-01-16,2016-05-17,,101.0,PG-13,Drama,Sony Classics,,,$5 million,"1,318","Julianne Moore,Alec Baldwin,Kristen Stewart,Kate Bosworth","Richard Glatzer,Wash Westmoreland",,Ilan Eshkeri,"['Julianne Moore', 'Alec Baldwin', 'Kristen Stewart', 'Kate Bosworth']",1.0,5.0
