name,meanScore
Eva Marie Saint,
Jan Sterling,
Ernest Borgnine,
James Dean,
Jack Lemmon,
Joe Mantell,
Sal Mineo,
Arthur O'Connell,
Anna Magnani,
Betsy Blair,
Peggy Lee,
Marisa Pavan,
Jo Van Fleet,
Natalie Wood,
Yul Brynner,
Rock Hudson,
Sir Laurence Olivier,
Don Murray,
Anthony Perkins,
Robert Stack,
Carroll Baker,
Nancy Kelly,
Eileen Heckart,
Patty McCormack,
Dorothy Malone,
Anthony Franciosa,
Red Buttons,
Vittorio De Sica,
Sessue Hayakawa,
Russ Tamblyn,
Elizabeth Taylor,
Lana Turner,
Joanne Woodward,
Carolyn Jones,
Hope Lange,
Miyoshi Umeki,
Diane Varsi,
Tony Curtis,
Paul Newman,
David Niven,
Sidney Poitier,
Theodore Bikel,
Burl Ives,
Shirley MacLaine,
Peggy Cass,
Martha Hyer,
Maureen Stapleton,
Cara Williams,
Laurence Harvey,
Charlton Heston,
Hugh Griffith,
George C. Scott,
Robert Vaughn,
Ed Wynn,
Doris Day,
Simone Signoret,
Hermione Baddeley,
Susan Kohner,
Juanita Moore,
Trevor Howard,
Peter Falk,
Jack Kruschen,
Chill Wills,
Melina Mercouri,
Glynis Johns,
Shirley Jones,
Shirley Knight,
Janet Leigh,
Mary Ure,
Maximilian Schell,
Stuart Whitman,
George Chakiris,
Jackie Gleason,
Piper Laurie,
Sophia Loren,
Lotte Lenya,
Una Merkel,
Rita Moreno,
Marcello Mastroianni,
Peter O'Toole,
Ed Begley,
Victor Buono,
Telly Savalas,
Omar Sharif,
Terence Stamp,
Anne Bancroft,
Lee Remick,
Mary Badham,
Patty Duke,
Albert Finney,
Richard Harris,
Rex Harrison,
Nick Adams,
Bobby Darin,
Melvyn Douglas,
John Huston,
Patricia Neal,
Rachel Roberts,
Diane Cilento,
Dame Edith Evans,
Joyce Redman,
Margaret Rutherford,
Lilia Skala,
Peter Sellers,
John Gielgud,
Stanley Holloway,
Lee Tracy,
Julie Andrews,
Debbie Reynolds,
Kim Stanley,
Grayson Hall,
Lila Kedrova,
Lee Marvin,
Oskar Werner,
Martin Balsam,
Ian Bannen,
Tom Courtenay,
Michael Dunn,
Frank Finlay,
Julie Christie,
Samantha Eggar,
Elizabeth Hartman,
Ruth Gordon,
Maggie Smith,
Peggy Wood,
Alan Arkin,
Michael Caine,
Steve McQueen,
Paul Scofield,
Mako,
Walter Matthau,
George Segal,
Robert Shaw,
Anouk Aimee,
Ida Kaminska,
Lynn Redgrave,
Vanessa Redgrave,
Sandy Dennis,
Jocelyne Lagarde,
Vivien Merchant,
Warren Beatty,
Dustin Hoffman,
John Cassavetes,
Gene Hackman,
George Kennedy,
Michael J. Pollard,
Faye Dunaway,
Carol Channing,
Mildred Natwick,
Estelle Parsons,
Beah Richards,
Katharine Ross,
Alan Bates,
Ron Moody,
Cliff Robertson,
Jack Albertson,
Seymour Cassel,
Daniel Massey,
Jack Wild,
Gene Wilder,
Barbra Streisand,
Lynn Carlin,
Sondra Locke,
Kay Medford,
Jon Voight,
Rupert Crosse,
Elliott Gould,
Jack Nicholson,
Anthony Quayle,
Genevieve Bujold,
Jane Fonda,
Liza Minnelli,
Catherine Burns,
Dyan Cannon,
Goldie Hawn,
Sylvia Miles,
Susannah York,
James Earl Jones,
Ryan O'Neal,
Richard Castellano,
Chief Dan George,
John Marley,
John Mills,
Jane Alexander,
Glenda Jackson,
Ali MacGraw,
